onset	duration	amount	Probability	choseAccept	RT	choseRight
13.037	4	61	0.5	1	2.438	1
20.07	4	49	0.44	1	2.091	1
31.103	4	41	0.6	1	1.972	1
39.136	4	76	0.44	0	1.571	0
48.17	4	77	0.38	0	1.391	0
55.203	4	33	0.91	1	1.724	1
67.236	4	40	0.79	1	1.99	1
75.269	4	25	0.91	1	1.182	1
94.302	4	58	0.42	0	2.163	0
99.368	4	75	0.48	1	2.271	1
108.402	4	35	0.78	0	1.312	0
119.435	4	54	0.52	1	1.919	1
130.468	4	82	0.09	0	1.522	0
139.501	4	36	0.59	0	2.069	0
146.551	4	64	0.33	1	1.338	1
155.584	4	35	0.73	1	2.11	1
162.617	4	63	0.57	0	1.295	0
175.65	4	28	0.63	0	2.154	0
192.683	4	73	0.74	1	2.123	1
200.716	4	41	0.63	1	2.575	1
206.749	4	39	0.3	0	0.843	0
229.782	4	56	0.49	0	2.155	0
237.815	4	70	0.39	0	1.437	0
245.848	4	25	0.89	0	2.138	0
254.881	4	46	0.77	1	2.61	1
272.914	4	35	0.7	1	2.899	1
277.964	4	83	0.32	0	1.385	0
286.014	4	58	0.46	0	1.464	0
295.064	4	45	0.37	0	1.398	0
306.113	4	33	0.62	0	2.136	0
