onset	duration	amount	Delay	choseAccept	RT	choseRight
18.915	4	55	107	0	1.436	0
23.982	4	34	176	0	1.017	0
34.048	4	63	37	1	1.435	1
43.098	4	58	36	1	0.695	1
50.131	4	65	159	0	1.186	0
68.18	4	71	88	1	1.436	1
79.229	4	39	95	0	1.243	0
89.262	4	81	58	1	1.162	1
104.295	4	66	58	1	1.314	1
113.328	4	75	60	1	1.489	1
126.361	4	55	163	0	1.241	0
136.394	4	56	93	0	1.681	0
153.443	4	45	107	0	1.574	0
158.493	4	43	38	1	1.374	1
172.525	4	33	103	0	1.001	0
180.592	4	58	72	1	2.295	1
186.625	4	83	105	0	0.896	0
195.674	4	50	129	0	1.069	0
204.724	4	23	42	1	1.041	1
212.757	4	62	180	0	0.992	0
220.79	4	85	129	0	1.472	0
229.823	4	32	74	1	1.288	1
238.856	4	24	89	0	1.188	0
245.889	4	74	52	1	1.684	1
251.939	4	58	55	1	1.169	1
263.988	4	77	142	0	2.035	0
274.054	4	33	78	0	1.826	0
286.087	4	80	145	0	1.071	0
299.12	4	58	53	1	1.2	1
309.169	4	45	72	1	1.303	1
